Team,PPG,PPGA,ScoringMargin,OffensiveEff,DefensiveEff,FloorP,FloorPA,PTWO,PTWOA,PTHREE,PTHREEA,PFT,PFTA,TWOPP,TWOPPA,THREEPP,THREEPPA,FTR,FTRA,ORB,ORBA,DRB,DRBA,BlockP,BlockPA,StealP,StealPA,AssistR,AssistRA,FoulR,FoulRA,ESCPG,EPR,EPRA,TOVR,TOVRA,WinP
Maine,69.0,67.1,1.9,1.013,0.986,47.6,46.2,54.9,53.1,28.5,29.7,16.6,17.2,50.6,50.6,35.7,33.3,0.282,0.291,18.7,30.8,69.2,81.3,6.3,4.9,13.0,8.5,0.207,0.195,22.4,20.8,0.6,0.93,0.921,14.0,18.9,0.563
Campbell,68.9,69.3,-0.4,1.018,1.025,47.0,48.6,48.9,56.1,32.7,27.3,18.5,16.7,51.5,55.8,31.9,31.1,0.297,0.299,22.4,26.5,73.5,77.6,5.4,6.0,9.6,9.4,0.194,0.2,23.7,24.0,1.2,0.947,0.93,14.0,16.6,0.433
Florida A&M,68.8,76.1,-7.3,0.981,1.086,45.3,51.9,42.6,50.1,36.8,28.7,20.6,21.2,50.8,51.5,33.6,34.2,0.367,0.399,25.0,30.6,69.4,75.0,5.3,5.6,7.1,11.1,0.173,0.181,25.9,23.9,-5.7,0.906,0.987,18.1,13.2,0.414
Seattle,68.8,67.6,1.1,0.994,0.978,47.9,46.4,47.9,50.8,27.6,28.7,24.5,20.6,46.3,53.3,31.3,31.9,0.423,0.367,27.6,24.6,75.4,72.4,6.0,7.3,11.6,9.5,0.169,0.192,25.6,27.9,4.7,0.964,0.896,14.7,18.6,0.4
Loyola MD,68.7,72.1,-3.4,1.006,1.056,46.9,49.4,50.8,53.1,32.4,29.4,16.7,17.5,50.7,52.9,32.9,35.1,0.293,0.302,26.9,26.2,73.8,73.1,5.1,4.2,10.1,10.5,0.2,0.199,22.6,23.3,0.1,0.948,0.946,15.4,14.9,0.367
Lehigh,68.7,72.3,-3.6,0.998,1.05,46.7,49.8,49.8,53.0,32.9,27.1,17.3,19.9,49.1,53.0,36.4,31.2,0.315,0.339,18.7,27.2,72.8,81.3,3.6,5.2,8.4,9.0,0.184,0.181,23.7,24.7,-2.3,0.929,0.963,14.1,14.0,0.321
Drake,68.7,59.7,9.0,1.108,0.962,53.1,45.6,50.3,50.8,27.9,28.6,21.9,20.6,54.6,53.8,35.3,31.6,0.432,0.365,35.8,23.2,76.8,64.2,5.2,4.8,14.5,8.5,0.209,0.163,26.2,28.0,5.5,0.964,0.875,16.0,19.9,0.906
Bethune,68.6,72.2,-3.5,0.965,1.014,46.3,47.9,52.8,52.0,26.8,28.6,20.4,19.4,48.4,49.8,31.9,31.3,0.359,0.324,27.1,28.3,71.7,72.9,6.1,6.6,9.4,10.7,0.18,0.192,22.6,24.8,-2.7,0.931,0.968,17.0,14.4,0.515
Binghamton,68.6,73.0,-4.4,0.996,1.059,46.9,49.6,51.0,49.8,30.3,31.3,18.6,18.9,50.6,51.1,35.4,31.8,0.337,0.319,24.0,24.2,75.8,76.0,4.9,7.6,6.3,11.6,0.183,0.174,23.4,23.7,-5.4,0.913,0.992,17.3,11.2,0.414
Holy Cross,68.6,73.7,-5.2,1.014,1.09,45.4,50.7,46.9,54.5,40.1,31.5,13.0,14.0,49.6,54.5,38.6,34.5,0.222,0.254,21.4,25.4,74.6,78.6,4.9,4.5,6.4,9.8,0.18,0.217,20.9,20.6,-4.3,0.919,0.982,16.1,11.9,0.367
C Arkansas,68.5,79.4,-10.9,0.961,1.113,44.0,48.5,45.3,40.8,36.7,46.6,17.9,12.6,50.2,55.4,29.6,38.7,0.288,0.226,25.5,27.0,73.0,74.5,3.9,6.5,10.0,10.9,0.188,0.246,19.5,21.2,-0.8,0.941,0.952,15.8,14.5,0.226
Little Rock,68.5,67.7,0.8,0.977,0.966,46.3,45.1,55.0,42.9,27.8,34.6,17.1,22.5,47.2,46.3,36.6,31.4,0.29,0.379,29.4,32.6,67.4,70.6,9.4,5.1,12.8,12.0,0.189,0.186,24.6,22.7,-0.7,0.933,0.943,17.6,18.2,0.548
St Bonaventure,68.4,65.6,2.8,1.026,0.984,48.6,44.3,54.7,45.7,27.1,39.2,18.2,15.1,51.5,50.8,31.3,32.8,0.306,0.245,25.5,25.6,74.4,74.5,5.8,6.1,11.1,9.3,0.16,0.204,20.2,22.4,2.0,0.962,0.932,13.9,16.6,0.636
Duquesne,68.4,68.1,0.3,1.013,1.009,46.8,47.8,46.8,47.9,37.0,30.0,16.2,22.1,49.2,48.1,34.0,35.9,0.3,0.395,32.1,27.8,72.2,67.9,8.1,5.8,10.2,9.8,0.198,0.183,26.6,24.4,3.4,0.975,0.925,15.5,17.4,0.387
Harvard,68.3,72.3,-4.0,0.992,1.049,45.6,48.7,52.3,55.0,31.9,29.8,15.8,15.2,52.2,53.4,32.0,33.5,0.244,0.246,21.8,29.2,70.8,78.2,5.0,5.7,10.8,10.0,0.199,0.198,20.9,20.0,-2.3,0.92,0.953,16.0,15.4,0.423
Lindenwood,68.3,74.2,-5.9,0.937,1.018,45.6,48.0,54.3,49.7,24.2,30.9,21.6,19.5,47.6,50.0,26.7,34.6,0.36,0.347,28.3,28.8,71.2,71.7,6.3,7.3,10.6,10.2,0.14,0.181,23.3,25.1,1.8,0.962,0.936,15.4,16.8,0.433
Utah Tech,68.2,76.9,-8.6,0.966,1.089,45.2,52.7,47.6,54.4,32.9,24.0,19.5,21.6,47.9,53.7,33.4,34.4,0.337,0.411,23.9,31.3,68.7,76.1,5.8,6.7,9.1,10.7,0.173,0.193,27.5,24.5,-2.1,0.929,0.959,16.1,15.1,0.161
West Virginia,68.2,64.8,3.3,1.007,0.957,45.6,45.3,46.3,51.6,38.1,27.9,15.6,20.5,50.9,47.3,32.6,29.7,0.256,0.322,23.9,29.2,70.8,76.1,7.4,5.0,11.2,8.2,0.204,0.155,24.6,21.2,0.4,0.954,0.947,14.3,16.7,0.594
Minnesota,68.1,69.7,-1.7,1.014,1.038,48.2,49.0,53.9,51.8,28.8,28.5,17.3,19.7,50.7,49.2,32.2,34.5,0.315,0.331,27.1,27.1,72.9,72.9,8.4,6.5,9.0,8.2,0.227,0.222,26.1,24.8,0.1,0.965,0.964,14.3,14.1,0.469
Pacific,68.0,77.2,-9.2,0.973,1.104,46.1,51.4,52.0,47.4,28.0,31.5,20.0,21.2,50.3,52.9,29.7,35.8,0.328,0.371,26.4,27.0,73.0,73.6,4.8,5.6,8.1,10.2,0.171,0.227,26.6,24.4,-2.2,0.932,0.964,16.8,13.5,0.226
St Francis PA,68.0,73.4,-5.4,0.984,1.061,44.9,48.8,50.5,49.3,35.2,33.9,14.4,16.8,52.6,53.3,33.8,32.2,0.24,0.278,23.4,28.6,71.4,76.6,4.0,5.3,8.8,12.1,0.184,0.193,22.5,21.0,-4.4,0.909,0.973,17.5,14.0,0.419
NC A&T,67.9,76.9,-9.0,0.959,1.085,45.6,50.5,52.4,51.3,28.6,30.6,18.9,18.1,46.3,52.4,30.0,33.3,0.312,0.3,24.6,30.0,70.0,75.4,5.1,6.0,8.6,8.2,0.152,0.223,21.0,23.0,-1.3,0.97,0.989,13.4,13.1,0.194
Florida Intl,67.9,73.0,-5.1,0.935,1.005,45.6,47.4,56.3,48.8,22.1,30.2,21.6,21.0,47.4,52.6,28.8,33.3,0.36,0.375,28.2,26.0,74.0,71.8,8.0,5.7,12.3,11.1,0.158,0.197,23.8,24.5,2.2,0.934,0.904,16.8,18.1,0.258
New Orleans,67.9,82.5,-14.5,0.94,1.141,45.6,52.0,55.7,49.2,24.5,35.9,19.8,14.9,46.0,55.1,30.4,36.4,0.339,0.266,28.0,33.8,66.2,72.0,4.1,7.7,10.1,10.7,0.17,0.244,20.8,23.0,-3.5,0.95,0.999,16.1,13.5,0.129
Weber St,67.9,74.4,-6.5,1.002,1.098,47.6,50.7,51.5,44.3,28.9,35.3,19.5,20.4,51.1,52.2,32.4,36.7,0.347,0.372,21.8,28.8,71.2,78.2,4.0,6.1,9.5,8.8,0.152,0.205,26.9,24.9,-2.4,0.932,0.967,15.1,14.3,0.29
Lafayette,67.8,69.7,-1.8,0.998,1.025,46.4,47.2,48.8,49.8,33.9,33.8,17.4,16.4,49.7,48.3,34.0,35.8,0.305,0.269,22.4,25.6,74.4,77.6,6.2,3.9,8.2,9.3,0.212,0.201,22.7,24.1,-0.9,0.943,0.957,14.7,14.6,0.375
N Texas,67.8,60.3,7.5,1.091,0.971,50.9,46.1,48.3,48.2,30.4,28.4,21.3,23.4,50.8,48.1,35.9,30.4,0.362,0.383,30.9,26.3,73.7,69.1,4.9,5.4,11.9,9.3,0.17,0.153,24.6,25.3,2.5,0.97,0.93,14.5,16.9,0.742
W Georgia,67.8,78.8,-11.1,0.962,1.119,46.4,51.7,59.1,46.3,23.5,34.9,17.4,18.9,48.4,56.9,29.7,36.8,0.288,0.363,24.5,26.9,73.1,75.5,5.2,5.2,9.7,9.7,0.184,0.223,22.5,21.8,0.6,0.957,0.948,14.2,14.6,0.167
American,67.8,68.5,-0.8,1.032,1.044,46.7,49.6,44.6,53.3,38.0,28.2,17.4,18.4,51.4,53.5,35.2,33.8,0.29,0.341,22.2,25.9,74.1,77.8,3.5,5.2,9.5,8.6,0.188,0.191,27.0,23.4,-0.2,0.935,0.939,14.9,15.6,0.606
Kansas City,67.7,70.3,-2.6,1.007,1.046,46.0,49.2,44.1,49.5,36.2,30.4,19.7,20.0,47.5,53.6,33.1,31.8,0.309,0.352,31.0,26.5,73.5,69.0,5.8,4.5,9.2,9.6,0.165,0.175,25.8,25.1,0.6,0.959,0.951,15.9,14.7,0.31
New Mexico St,67.7,67.3,0.4,1.001,0.994,47.7,47.2,50.2,46.0,29.6,31.2,20.2,22.8,46.1,48.8,30.9,29.5,0.345,0.392,31.0,26.4,73.6,69.0,3.9,6.5,8.4,8.8,0.16,0.174,27.3,25.1,1.3,0.999,0.98,13.3,13.1,0.483
TCU,67.6,68.7,-1.2,0.98,0.996,47.2,46.1,54.1,50.1,27.1,32.9,18.8,17.0,47.8,53.4,30.0,31.6,0.335,0.283,30.9,28.0,72.0,69.1,6.1,6.0,11.0,9.1,0.176,0.228,22.7,23.5,3.5,0.979,0.928,14.7,17.0,0.5
Abl Christian,67.6,71.0,-3.4,0.937,0.985,46.3,48.5,59.5,51.3,18.2,23.0,22.3,25.7,47.8,52.7,28.9,32.6,0.372,0.514,27.8,30.7,69.3,72.2,5.7,8.3,13.9,11.0,0.173,0.169,29.8,24.6,2.3,0.917,0.885,18.1,21.0,0.448
Missouri St,67.5,71.9,-4.5,0.993,1.059,46.8,49.8,49.8,48.7,32.2,31.3,18.0,20.0,49.1,55.0,36.0,36.1,0.343,0.385,30.1,25.8,74.2,69.9,5.1,7.5,10.4,9.8,0.177,0.204,27.1,24.1,0.6,0.927,0.919,17.9,16.9,0.233
Lamar,67.4,67.0,0.5,0.988,0.981,46.4,46.5,51.8,49.2,30.5,31.1,17.6,19.8,44.3,47.9,35.6,31.4,0.29,0.348,33.4,29.3,70.7,66.6,9.0,6.6,10.1,11.2,0.202,0.19,22.8,23.6,0.7,0.977,0.967,15.8,15.0,0.567
N Illinois,67.4,79.5,-12.1,0.926,1.092,41.9,51.7,39.5,46.2,41.3,31.0,19.2,22.8,45.3,51.0,32.7,38.0,0.316,0.44,14.5,28.7,71.3,85.5,5.9,5.0,7.7,9.1,0.162,0.199,27.4,23.0,-3.8,0.909,0.961,14.9,14.4,0.107
Niagara,67.4,71.6,-4.2,1.007,1.07,46.2,49.2,46.8,49.2,35.5,32.7,17.8,18.1,51.8,51.8,34.9,36.7,0.304,0.298,21.0,25.2,74.8,79.0,4.0,5.3,9.1,9.8,0.183,0.212,23.2,23.9,-2.4,0.909,0.945,16.7,14.8,0.333
Old Dominion,67.4,72.8,-5.5,0.98,1.06,46.7,50.4,52.4,52.3,27.5,28.5,20.1,19.2,45.0,51.2,28.3,34.1,0.309,0.35,34.2,30.1,69.9,65.8,5.9,6.6,8.0,9.6,0.151,0.186,24.6,22.3,2.1,1.012,0.981,14.0,13.7,0.394
Stonehill,67.3,70.9,-3.6,1.005,1.059,45.9,50.1,44.0,53.1,37.9,27.8,18.2,19.1,49.4,50.1,35.4,34.9,0.314,0.327,24.3,28.1,71.9,75.7,4.6,7.0,8.9,10.3,0.21,0.155,25.0,23.1,-2.9,0.928,0.972,16.2,14.0,0.433
W Carolina,67.1,80.6,-13.5,0.91,1.093,41.3,50.6,43.4,46.4,38.7,33.8,17.9,19.8,46.3,52.8,29.7,32.6,0.27,0.34,24.3,26.7,73.3,75.7,5.0,4.9,6.7,11.2,0.154,0.204,23.9,20.0,-4.7,0.93,0.994,16.6,11.7,0.185
Rider,67.0,71.8,-4.8,1.003,1.075,48.1,49.5,57.5,49.9,24.2,35.1,18.3,15.1,48.1,52.8,31.2,35.7,0.296,0.273,31.0,28.4,71.6,69.0,5.4,6.2,8.0,9.2,0.189,0.212,21.6,23.0,0.5,0.98,0.972,14.6,13.8,0.424
S Utah,66.8,75.3,-8.5,0.929,1.048,44.7,50.8,53.2,58.9,24.9,22.6,22.0,18.5,47.2,49.8,30.5,33.3,0.362,0.33,27.8,30.4,69.6,72.2,6.5,5.9,6.5,12.3,0.157,0.196,25.4,26.5,-6.0,0.908,0.991,18.8,12.9,0.321
Fairfield,66.7,73.5,-6.8,0.978,1.078,45.3,50.1,50.8,51.4,32.5,30.4,16.7,18.2,45.8,53.4,31.5,36.0,0.254,0.31,27.1,28.3,71.7,72.9,5.3,6.0,9.7,8.9,0.181,0.204,24.0,22.6,2.9,0.985,0.942,13.4,15.9,0.355
W Illinois,66.6,73.3,-6.7,0.989,1.089,45.6,51.1,49.2,52.5,34.9,29.4,15.8,18.1,46.7,50.2,37.3,35.1,0.272,0.306,25.3,29.9,70.1,74.7,6.0,4.7,8.1,9.9,0.141,0.187,21.6,21.3,-4.0,0.939,0.999,15.9,12.3,0.321
Detroit Mercy,66.3,76.6,-10.4,0.94,1.087,44.8,50.4,55.9,42.4,25.3,35.7,18.9,21.8,43.9,52.4,33.3,33.2,0.289,0.398,29.7,28.9,71.1,70.3,4.2,6.3,8.2,10.4,0.15,0.213,26.9,23.0,-2.5,0.951,0.986,16.3,13.2,0.226
UC Davis,66.2,71.1,-4.9,0.944,1.014,44.9,47.6,48.0,46.4,28.4,30.7,23.6,22.9,45.1,48.3,32.2,35.2,0.383,0.392,25.7,32.2,67.8,74.3,6.3,4.6,11.1,9.8,0.15,0.186,26.2,27.0,-0.2,0.923,0.926,17.3,18.7,0.433
UL Monroe,66.1,76.9,-10.8,0.945,1.099,44.7,50.0,50.8,49.0,29.5,36.8,19.7,14.3,43.1,55.8,32.5,34.0,0.311,0.251,27.3,30.8,69.2,72.7,3.8,6.5,9.9,10.8,0.172,0.235,20.2,22.2,-1.4,0.966,0.985,14.8,13.8,0.167
Coastal Car,66.0,72.2,-6.2,0.999,1.093,46.7,51.9,47.2,49.7,33.4,28.5,19.5,21.8,47.7,48.5,34.8,32.5,0.344,0.369,26.4,27.0,73.0,73.6,2.8,6.6,4.7,10.0,0.171,0.159,27.0,26.2,-5.9,0.946,1.035,15.8,9.0,0.267
Marist,66.0,64.5,1.5,0.991,0.969,46.1,45.6,55.7,49.2,30.6,30.4,13.7,20.4,51.5,44.9,31.4,33.7,0.224,0.332,28.8,22.9,77.1,71.2,6.3,4.3,8.7,10.4,0.21,0.152,22.4,22.2,0.3,0.952,0.948,15.8,14.4,0.667
Long Beach St,65.9,75.6,-9.8,0.96,1.102,44.8,51.3,47.2,48.0,31.4,32.4,21.4,19.6,47.0,51.2,35.3,38.1,0.355,0.352,25.1,31.9,68.1,74.9,5.2,5.0,7.8,10.6,0.161,0.189,26.7,26.1,-4.9,0.897,0.967,18.6,15.0,0.167
Wyoming,65.8,70.7,-4.9,0.98,1.053,45.6,50.3,48.7,49.3,34.8,28.3,16.5,22.4,49.5,51.7,34.4,33.3,0.304,0.411,27.6,24.7,75.3,72.4,5.2,5.8,6.3,10.3,0.17,0.169,28.4,25.6,-1.6,0.932,0.956,17.2,13.8,0.355
App State,65.8,64.6,1.2,0.998,0.979,46.8,45.0,46.9,51.8,34.3,33.0,18.8,15.2,48.8,47.0,34.0,29.8,0.352,0.222,24.7,27.0,73.0,75.3,5.3,6.4,8.3,9.9,0.179,0.176,20.3,25.5,-2.7,0.953,0.994,14.7,12.6,0.517
Mercyhurst,65.8,71.8,-6.0,0.99,1.08,45.6,50.8,47.7,49.1,31.9,31.1,20.4,19.9,45.8,56.0,35.7,35.7,0.309,0.383,20.8,31.4,68.6,79.2,3.6,5.2,9.9,8.7,0.197,0.209,25.1,25.4,0.4,0.932,0.926,14.7,17.7,0.429
Boston U,65.6,68.3,-2.6,0.991,1.03,46.1,47.5,48.6,47.5,34.3,33.9,17.0,18.6,50.7,51.2,33.0,36.1,0.307,0.32,30.3,21.2,78.8,69.7,4.9,5.6,8.8,11.3,0.173,0.191,24.2,24.1,0.3,0.933,0.929,17.7,14.9,0.484
Stony Brook,65.6,75.1,-9.4,0.99,1.132,45.9,52.0,46.9,50.0,33.3,34.9,19.8,15.0,45.7,57.2,33.8,36.3,0.316,0.284,26.3,30.3,69.7,73.7,3.5,6.7,7.4,10.5,0.167,0.244,23.2,23.3,-2.4,0.947,0.983,15.9,12.9,0.226
Merrimack,65.6,64.2,1.4,0.986,0.965,44.9,45.5,48.4,52.1,36.4,29.3,15.2,18.6,49.3,47.2,33.0,31.0,0.244,0.299,18.4,36.9,63.1,81.6,6.7,4.9,14.2,7.6,0.178,0.207,23.6,20.4,0.3,0.953,0.948,12.3,19.3,0.546
Richmond,65.6,72.6,-6.9,0.981,1.084,44.6,49.5,44.8,40.7,35.3,39.0,19.9,20.3,49.7,52.4,31.2,35.4,0.297,0.371,17.7,25.7,74.3,82.3,3.7,5.3,9.0,9.1,0.173,0.19,26.2,22.5,-2.2,0.929,0.962,14.0,13.9,0.267
LIU,65.5,66.5,-1.0,0.964,0.979,45.7,46.5,56.3,45.6,26.3,29.0,17.4,25.4,48.8,48.8,30.3,31.2,0.276,0.435,30.7,24.6,75.4,69.3,6.6,6.8,11.3,10.8,0.157,0.19,27.8,22.6,1.7,0.943,0.918,17.2,17.0,0.484
NW State,65.4,69.0,-3.6,0.982,1.037,46.1,48.0,49.9,45.9,31.4,35.1,18.8,19.0,46.5,46.8,35.2,36.2,0.322,0.331,31.2,30.2,69.8,68.8,7.4,7.4,9.9,10.9,0.185,0.182,23.7,23.4,-1.8,0.946,0.973,17.2,14.8,0.467
Alcorn St,65.3,72.4,-7.1,0.961,1.065,46.1,48.9,56.1,46.4,24.7,35.9,19.2,17.6,45.4,54.6,31.8,34.1,0.304,0.315,32.3,30.8,69.2,67.7,4.6,7.4,9.8,9.8,0.152,0.228,24.6,22.9,0.3,0.96,0.955,16.5,15.8,0.355
Evansville,65.1,71.4,-6.4,0.95,1.043,44.7,47.9,51.2,43.3,30.5,36.4,18.3,20.3,51.5,49.4,29.9,34.1,0.311,0.346,19.9,27.4,72.6,80.1,7.7,4.5,8.8,10.8,0.178,0.193,24.3,23.2,-3.3,0.914,0.963,15.9,14.5,0.323
Louisiana,64.9,73.3,-8.4,0.946,1.068,44.2,51.4,49.2,50.4,31.6,25.8,19.2,23.8,45.0,53.8,31.3,31.5,0.298,0.438,22.8,34.2,65.8,77.2,5.3,7.1,10.3,9.0,0.151,0.178,25.4,22.8,-0.7,0.951,0.961,14.1,16.2,0.344
New Hampshire,64.9,77.2,-12.3,0.922,1.097,42.7,51.4,49.7,51.5,34.8,30.8,15.5,17.7,46.8,56.4,31.7,34.1,0.264,0.33,23.5,30.0,70.0,76.5,4.0,7.7,8.1,9.7,0.156,0.212,23.5,20.8,-2.9,0.925,0.966,16.6,14.5,0.2
Virginia,64.8,66.8,-2.0,1.029,1.061,46.4,49.1,45.6,50.3,38.5,32.1,15.9,17.6,49.9,50.6,37.5,34.1,0.264,0.288,20.6,27.3,72.7,79.4,6.9,5.4,8.7,9.3,0.233,0.19,24.3,21.7,-2.6,0.931,0.972,14.7,13.6,0.469
Canisius,64.8,78.6,-13.8,0.959,1.163,43.1,53.7,47.3,50.4,37.9,32.3,14.7,17.4,48.4,58.7,36.7,36.2,0.233,0.314,14.8,33.3,66.7,85.2,4.2,5.8,9.1,9.1,0.166,0.247,23.6,18.6,-6.4,0.882,0.976,17.1,14.1,0.097
Hou Christian,64.7,69.9,-5.2,0.974,1.053,45.0,50.4,46.4,59.1,36.0,24.5,17.6,16.4,49.3,54.5,32.5,32.3,0.305,0.294,24.4,29.3,70.7,75.6,6.4,5.6,11.4,11.3,0.159,0.175,20.3,22.1,-0.9,0.938,0.952,15.8,15.5,0.333
SF Austin,64.7,69.4,-4.7,0.921,0.988,44.2,46.6,54.1,49.4,28.0,31.5,17.9,19.1,48.8,47.8,28.7,34.4,0.323,0.341,32.6,31.2,68.8,67.4,7.0,6.2,11.3,12.9,0.172,0.19,23.6,23.3,-0.6,0.935,0.944,18.8,17.2,0.393
Vermont,64.5,65.0,-0.5,0.987,0.994,45.5,46.0,46.8,50.5,35.3,32.6,18.0,16.8,49.5,48.3,32.3,33.0,0.298,0.271,24.1,22.7,77.3,75.9,7.6,6.6,7.8,9.4,0.172,0.161,21.0,22.8,-0.3,0.947,0.952,15.0,13.8,0.613
Hofstra,64.5,65.6,-1.1,0.962,0.979,44.0,45.9,48.0,42.9,36.5,34.7,15.5,22.4,48.1,42.6,33.2,33.9,0.253,0.38,23.5,26.2,73.8,76.5,7.0,5.3,8.6,9.1,0.193,0.17,26.4,22.7,-2.1,0.938,0.969,15.5,14.2,0.419
Grambling,64.4,69.3,-4.9,0.949,1.021,45.1,47.6,50.8,49.5,27.9,31.3,21.3,19.2,46.9,47.0,32.0,35.7,0.351,0.313,24.0,30.3,69.7,76.0,6.3,6.6,9.9,11.5,0.16,0.189,24.8,23.2,-2.9,0.92,0.962,17.0,15.8,0.29
E Texas A&M,64.4,74.9,-10.5,0.922,1.072,42.1,50.9,45.4,51.8,39.1,29.2,15.5,19.0,51.1,52.6,31.4,37.4,0.28,0.365,25.3,34.6,65.4,74.7,6.9,6.9,12.0,13.2,0.203,0.227,24.0,22.0,-3.9,0.894,0.95,19.7,17.0,0.161
Saint Peter's,64.1,66.3,-2.2,0.959,0.991,44.9,46.9,45.4,47.7,32.4,29.8,22.2,22.5,42.4,47.0,32.2,31.9,0.347,0.376,34.8,28.7,71.3,65.2,6.5,7.6,9.4,10.3,0.146,0.171,28.2,24.6,0.1,0.965,0.964,17.2,15.1,0.407
NJIT,63.9,73.9,-10.1,0.928,1.074,43.3,51.9,50.6,53.2,31.3,25.8,18.1,21.0,45.0,51.9,30.5,31.0,0.274,0.386,25.6,29.6,70.4,74.4,5.9,6.4,6.8,8.5,0.139,0.191,26.7,21.9,-3.7,0.949,1.003,15.6,11.8,0.167
Morehead St,63.7,69.8,-6.1,0.953,1.045,46.0,49.5,51.1,52.4,27.3,27.0,21.6,20.6,45.5,49.9,31.2,34.1,0.376,0.347,28.2,22.9,77.1,71.8,4.3,6.5,7.9,10.0,0.159,0.169,24.9,25.0,-0.3,0.957,0.962,15.8,12.8,0.414
E Illinois,63.5,70.3,-6.7,0.915,1.011,44.1,47.0,54.0,42.8,25.5,35.5,20.6,21.7,42.6,50.2,31.7,34.7,0.33,0.397,26.3,29.3,70.7,73.7,4.5,8.1,12.0,9.2,0.149,0.208,27.2,23.6,1.5,0.949,0.926,16.0,17.9,0.321
Sacramento St,63.3,73.4,-10.0,0.946,1.096,43.8,50.6,46.1,43.1,35.8,36.5,18.2,20.3,49.1,55.2,31.2,36.6,0.313,0.392,26.9,24.7,75.3,73.1,5.1,5.8,8.4,11.4,0.176,0.216,28.4,26.0,-0.7,0.928,0.938,17.6,15.2,0.138
Maryland ES,63.3,79.5,-16.2,0.918,1.153,43.7,55.1,48.8,52.3,30.5,27.0,20.7,20.7,44.7,58.6,31.5,33.3,0.356,0.406,25.1,32.6,67.4,74.9,3.6,5.6,7.6,10.5,0.147,0.231,27.0,24.6,-4.1,0.929,0.989,17.2,13.3,0.074
The Citadel,63.0,76.9,-13.9,0.929,1.134,43.7,52.4,47.5,48.4,34.6,33.3,17.9,18.3,49.5,56.3,29.2,34.7,0.328,0.328,25.2,31.7,68.3,74.8,3.3,6.3,8.1,11.6,0.171,0.218,23.8,23.5,-4.2,0.931,0.993,17.0,13.1,0.039
Chicago St,62.5,78.7,-16.2,0.878,1.105,40.6,51.9,47.7,49.5,34.8,31.0,17.5,19.5,43.4,55.7,30.6,35.8,0.268,0.369,19.9,31.2,68.8,80.1,6.2,5.3,10.3,9.7,0.151,0.223,26.6,20.2,-2.8,0.917,0.955,16.5,15.7,0.125
CS Fullerton,62.3,78.7,-16.3,0.886,1.118,43.0,51.2,51.8,45.2,23.6,35.7,24.7,19.1,46.1,55.9,27.0,34.9,0.392,0.341,23.9,28.1,71.9,76.1,3.3,6.2,7.0,11.7,0.124,0.216,25.3,26.9,-4.4,0.901,0.964,18.8,14.0,0.133
Air Force,61.9,73.7,-11.7,0.931,1.107,43.0,52.3,42.5,52.1,39.2,29.4,18.3,18.5,50.5,54.8,33.1,36.3,0.354,0.354,19.9,27.5,72.5,80.1,5.2,6.4,8.5,10.2,0.201,0.193,26.8,26.2,-5.3,0.886,0.966,18.7,13.7,0.125
Seton Hall,61.6,70.2,-8.6,0.918,1.047,44.4,48.5,54.8,43.9,25.6,35.3,19.6,20.8,43.9,54.5,31.2,36.6,0.329,0.397,28.7,30.2,69.8,71.3,6.5,7.5,12.1,10.3,0.167,0.209,26.9,25.4,3.5,0.954,0.901,16.4,19.4,0.219
Coppin St,61.3,76.9,-15.6,0.866,1.086,42.2,51.0,53.3,50.0,24.8,30.7,21.9,19.4,44.2,56.3,29.0,36.3,0.364,0.371,23.2,33.1,66.9,76.8,3.3,8.9,11.1,11.1,0.152,0.221,24.6,23.5,-2.6,0.896,0.933,19.0,17.7,0.172
Tarleton St,60.2,70.2,-10.0,0.876,1.021,43.1,48.4,55.0,43.8,20.3,30.8,24.8,25.4,45.0,52.9,32.2,33.9,0.415,0.483,25.8,31.6,68.4,74.2,6.8,8.9,12.8,11.5,0.139,0.2,28.0,27.7,-2.6,0.861,0.898,22.2,20.2,0.31
Wagner,57.5,63.0,-5.5,0.917,1.004,42.8,47.0,47.9,44.7,32.9,33.0,19.3,22.3,41.5,50.8,31.6,33.2,0.293,0.399,30.1,22.8,77.2,69.9,2.9,6.2,9.3,10.6,0.175,0.188,28.3,23.1,2.7,0.963,0.921,16.4,16.2,0.385
Miss Valley St,52.4,82.3,-29.8,0.774,1.214,37.4,57.4,55.4,51.0,25.2,30.6,19.4,18.4,41.6,58.8,28.8,37.7,0.303,0.384,19.9,37.2,62.8,80.1,3.0,7.3,8.4,14.1,0.117,0.23,24.6,21.9,-10.8,0.85,1.009,21.8,12.7,0.035
