Team,PPG,PPGA,ScoringMargin,OffensiveEff,DefensiveEff,FloorP,FloorPA,PTWO,PTWOA,PTHREE,PTHREEA,PFT,PFTA,TWOPP,TWOPPA,THREEPP,THREEPPA,FTR,FTRA,ORB,ORBA,DRB,DRBA,BlockP,BlockPA,StealP,StealPA,AssistR,AssistRA,FoulR,FoulRA,ESCPG,EPR,EPRA,TOVR,TOVRA,WinP
UMass,72.5,75.7,-3.2,0.981,1.025,47.7,48.1,55.9,47.5,23.9,31.6,20.2,21.0,46.6,49.7,28.0,33.2,0.34,0.366,32.7,28.8,71.2,67.3,7.8,6.0,10.4,8.7,0.17,0.202,24.8,25.9,3.7,1.006,0.956,13.4,15.1,0.355
Northwestern,72.4,69.2,3.3,1.051,1.004,49.7,47.0,53.4,47.2,27.9,31.3,18.7,21.6,49.7,49.4,33.2,33.8,0.313,0.366,28.6,27.1,72.9,71.4,6.5,5.8,10.0,8.0,0.211,0.208,25.6,24.3,4.5,0.988,0.923,12.8,17.3,0.515
IU Indy,72.4,79.7,-7.3,1.071,1.178,48.2,54.6,38.5,48.8,41.3,32.5,20.2,18.7,46.2,57.8,36.8,37.3,0.341,0.351,27.8,32.4,67.6,72.2,3.5,7.3,8.9,8.2,0.188,0.246,26.4,24.2,0.0,0.982,0.982,13.5,13.6,0.241
FGCU,72.3,70.0,2.3,1.074,1.04,49.5,47.4,53.9,44.9,33.2,37.9,12.9,17.3,54.1,48.9,35.7,35.1,0.231,0.295,27.9,23.4,76.6,72.1,4.2,5.4,8.1,9.2,0.207,0.184,22.0,20.2,-0.2,0.965,0.969,14.1,12.6,0.548
Nevada,72.3,68.1,4.2,1.082,1.02,51.4,47.0,51.7,42.2,28.7,36.8,19.6,21.0,55.3,49.5,34.1,35.7,0.373,0.379,25.9,23.7,76.3,74.1,6.9,4.7,9.3,8.5,0.225,0.212,26.2,28.9,2.7,0.96,0.919,13.7,16.6,0.515
J Madison,72.3,71.3,1.0,1.07,1.055,48.6,49.7,44.0,51.2,37.3,29.7,18.7,19.1,50.0,49.6,34.3,35.5,0.304,0.334,30.8,27.9,72.1,69.2,5.5,4.4,8.8,8.3,0.169,0.155,24.5,23.5,1.2,0.986,0.968,13.7,13.9,0.6
N Arizona,72.3,72.9,-0.6,1.052,1.06,49.1,49.8,50.8,50.7,32.9,30.5,16.3,18.7,49.4,52.8,34.5,36.0,0.296,0.343,29.1,22.3,77.7,70.9,2.3,5.5,8.0,8.0,0.2,0.192,23.7,24.1,2.5,0.987,0.951,13.2,13.2,0.483
SE Missouri St,72.3,69.3,3.0,1.025,0.983,48.0,48.0,53.0,52.9,30.2,22.5,16.8,24.6,51.1,48.8,34.5,30.0,0.289,0.428,22.4,27.5,72.5,77.6,6.3,5.0,11.0,8.3,0.181,0.141,26.6,22.3,0.7,0.946,0.936,13.9,16.7,0.6
Siena,72.2,72.1,0.1,1.033,1.031,48.5,48.6,47.1,53.7,31.0,27.7,21.9,18.6,49.5,51.8,32.8,34.3,0.373,0.314,27.6,28.1,71.9,72.4,8.8,5.9,9.8,9.7,0.169,0.185,23.2,27.0,1.2,0.956,0.939,15.1,15.9,0.438
S Illinois,72.2,75.5,-3.3,1.028,1.075,49.0,50.0,53.6,48.0,28.0,33.5,18.4,18.5,51.0,51.5,35.1,36.1,0.342,0.337,29.7,24.5,75.5,70.3,5.1,5.5,8.5,10.3,0.195,0.203,24.1,24.2,-0.4,0.954,0.959,15.8,13.4,0.387
Idaho St,72.2,72.1,0.1,1.056,1.055,50.0,49.3,50.6,50.4,28.3,32.2,21.1,17.4,48.3,53.0,31.2,37.3,0.344,0.327,37.5,24.6,75.4,62.5,7.6,6.6,8.4,8.4,0.175,0.204,25.2,27.0,5.9,1.016,0.929,13.6,15.8,0.444
Idaho,72.1,76.6,-4.5,1.051,1.117,47.6,52.5,41.5,49.9,38.7,31.5,19.8,18.6,51.5,55.1,34.7,34.9,0.336,0.357,26.7,30.0,70.0,73.3,4.8,5.5,8.0,9.9,0.172,0.207,25.7,24.5,-2.7,0.944,0.984,15.6,13.0,0.387
