Team Name,Performance,Total Games
UCLA,-10.452598381298705,10
Oakland,12.660306719178154,10
Charlotte,5.84790880068434,10
Maryland,26.56332631682314,10
NC A&T,-12.798225681873486,10
Ohio St,-23.289983196643032,10
Robert Morris,16.86919244564058,10
Wake Forest,-3.505006928961512,10
Kansas St,-11.806608633814765,10
Georgia So,-0.6082114266563627,10
Siena,-1.216917132201721,10
Stony Brook,3.170284371563982,10
Wichita St,11.085744274748208,10
Southern Miss,-13.850646118658538,10
W Illinois,1.3775320936639104,10
Cal Poly,2.175296174372371,10
Stanford,-8.847903846278966,10
Marquette,-8.487472583571213,10
Gonzaga,29.162648544607787,10
Campbell,-28.71808351044607,10
Georgetown,-29.008453975802325,10
La Salle,21.935826546442353,10
LIU,3.9961999864466664,10
UMass,-37.966528457868364,10
SC Upstate,-12.311065557411268,10
Temple,-2.2561059549311944,10
N Texas,3.009919730096368,10
UC Davis,-20.01602363829174,10
Dartmouth,20.84215602997105,10
Sacred Heart,5.392506314728073,10
Binghamton,-2.5034185741058135,10
E Tennessee St,-5.457956934000001,10
Fairfield,0.1612919725395734,10
Georgia Tech,14.35106469258594,10
Indiana St,11.818335521271514,10
NC Wilmington,7.386719082260167,10
Ohio,-6.070892851515293,10
Queens,3.813647531804409,10
S Florida,-18.81939506823444,10
UT Rio Grande,-18.473377216069007,10
Vermont,5.177556454273303,10
Wagner,-6.578538156911018,10
William & Mary,-14.201093083889353,10
Bradley,3.762831635662047,10
Oklahoma St,-2.5427318493406337,10
Vanderbilt,-24.161149649493144,10
Idaho St,-9.662816283343195,10
New Mexico,-6.92869267501405,10
UC Riverside,11.508524532323005,10
Pacific,-14.36491836307541,10
Wyoming,-15.573049457209859,10
N Alabama,-0.5296029337302066,10
Belmont,11.901705229494063,10
Cleveland St,-5.411868839458704,10
Morehead St,-12.343293122794616,10
SE Missouri St,4.020984504202009,10
S Indiana,-4.5901948696391175,10
Grand Canyon,6.0564193090473015,10
Saint Mary's,0.3424340316009634,10
Texas A&M,5.670886171934852,10
Saint Peter's,5.898897101799338,10
Yale,6.723805737765056,10
W Michigan,2.9215791115014307,10
Seattle,3.1296566447422056,10
Penn,-9.952391793392934,10
NC Central,-10.969088820380637,10
Michigan St,27.22166071046229,10
Florida Intl,-5.2777618303301495,10
Winthrop,6.374213517866502,10
Drake,11.494495707411435,10
S Illinois,-13.217955170151969,10
San Francisco,-1.2890749952565979,10
Drexel,8.914233412088706,10
C Connecticut,-0.04082209663756072,10
Coppin St,3.5919831798638304,10
Loyola MD,-2.83175036049179,10
Marist,-26.020583137400028,10
Monmouth,9.562908243224998,10
Presbyterian,8.503531752389074,10
St Bonaventure,-4.29414840421354,10
Ball St,-5.662480533818181,10
Bowling Green,-14.315947848384614,10
Minnesota,-5.488714960465856,10
Harvard,10.888161095122049,10
Tulsa,-24.893017647998292,10
Abl Christian,3.964501194049684,10
CS Northridge,1.5410128875155942,10
Creighton,1.0783432988901613,10
S Utah,-26.04946007500716,10
Troy,22.89443166196053,10
Denver,12.975625067107826,10
Jackson St,8.793870611926335,10
Elon,-5.3832559207727275,10
Alabama A&M,-18.16901049830003,10
Omaha,22.11324801160576,10
CS Bakersfield,-2.054813329024392,10
Weber St,3.8024608759200267,10
Michigan,-16.401476131509177,10
Cornell,16.13530882257611,10
Wisconsin,36.81098622878168,10
Towson,1.6899178966236106,10
Miami OH,3.084756429611669,10
Stonehill,-16.747794811077135,10
George Mason,9.771297429693625,10
Missouri St,-5.3803823133668045,10
Columbia,-38.91502558287291,10
Hampton,11.922040906714793,10
